Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
1007291.0,Ralphs Encino #6,Starbucks,20670-184967,818-345-6882,LS,17840 Ventura Blvd,17840 Ventura Blvd,,,Encino,CA,US,91316,"(34.1631813049316, -118.521072387695)",34.16318130493164,-118.52107238769531,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2014-04-09 04:00:00
16025.0,Creekwalk Village,Starbucks,679-1363,(972) 422-5003,CO,"801 15th St., Ste 500",801 15th St.,Ste 500,,Plano,TX,US,750758853,"(33.0205726623535, -96.7133331298828)",33.020572662353516,-96.71333312988281,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
15151.0,Giant 6512 @ KG Of Prussia,Starbucks,74668-96157,610-265-1870,LS,310 S Henderson Rd,310 S Henderson Rd,,,King of Prussia,PA,US,194062408,"(40.0914764404297, -75.3581008911133)",40.09147644042969,-75.35810089111328,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
113824.0,Michigan St University-Broad Bus Sc,Starbucks,18382-186726,,LS,103 Eppley Ctr,103 Eppley Ctr,,,East Lansing,MI,US,48824,"(42.7315101623535, -84.4872589111328)",42.731510162353516,-84.48725891113281,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
15489.0,1604 & 281 - SE Corner,Starbucks,6261-787,(210) 495-7914,CO,"18130 U.S. Highway 281 North, Suite 108, Northwoods Shpping Center",18130 U.S. Highway 281 North,Suite 108,Northwoods Shpping Center,San Antonio,TX,US,78232,"(29.6056346893311, -98.4675598144531)",29.605634689331055,-98.46755981445312,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
16240.0,West Boylston St. & Grove St.,Starbucks,7862-83020,508-595-9315,CO,1 West Boylston Street,1 West Boylston Street,,,Worcester,MA,US,016051265,"(42.2889137268066, -71.8075408935547)",42.28891372680664,-71.80754089355469,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
16521.0,South Park Shops,Starbucks,760-640,412-833-4649,CO,"5211 Library Road, Space E2",5211 Library Road,Space E2,,Bethel Park,PA,US,151022714,"(40.3333778381348, -80.0234222412109)",40.333377838134766,-80.02342224121094,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
1007501.0,Target Santa Rosa T-2804,Starbucks,21582-210186,,LS,950 Coddingtown Ctr,950 Coddingtown Ctr,,,Santa Rosa,CA,US,95401,"(38.4432144165039, -122.757965087891)",38.443214416503906,-122.75796508789062,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2014-10-28 04:00:00
88379.0,PA South Somerset Travel Plaza,Starbucks,17193-176966,814-444-9765,LS,Pennsylvania Tpke - Exit 110 E,Pennsylvania Tpke - Exit 110 E,,,Somerset,PA,US,15501,"(40.0993194580078, -79.2023773193359)",40.09931945800781,-79.20237731933594,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
14079.0,Colony & Jack Tone - Ripon,Starbucks,6899-84501,209-599-7410,CO,"1402 Colony Road, Colony Commercial",1402 Colony Road,,Colony Commercial,Ripon,CA,US,95366,"(37.7528381347656, -121.141044616699)",37.752838134765625,-121.14104461669922,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
